@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
52,'2024/12/18 15:45:50:533',1,-0.053907,-0.133646,0.116552,0.218632,-0.03238,0.383801,?,?,?
53,'2024/12/18 15:45:50:888',1,0.226001,0.132609,-1.017596,0.157552,0.080859,0.393569,?,?,?
54,'2024/12/18 15:45:50:933',1,-0.066159,0.609255,0.603474,0.695255,-0.002588,0.514553,?,?,?
55,'2024/12/18 15:45:51:395',1,-0.110958,-0.039077,0.283899,0.631074,-0.080828,0.409525,?,?,?
56,'2024/12/18 15:45:51:395',1,0.21059,-0.115542,-0.593012,0.342565,0.025303,0.374462,?,?,?
57,'2024/12/18 15:45:51:598',1,-0.001178,0.062901,0.223585,0.374037,0.018937,0.42486,?,?,?
58,'2024/12/18 15:45:51:907',1,-0.008525,0.015626,-0.049351,0.356211,0.023018,0.429791,?,?,?
59,'2024/12/18 15:45:51:935',1,0.002313,0.001996,-0.012194,0.339052,0.013,0.438269,?,?,?
60,'2024/12/18 15:45:52:132',1,0.010628,-0.001411,0.002288,0.33903,0.007191,0.442239,?,?,?
61,'2024/12/18 15:46:00:305',1,-0.042694,0.083995,-0.090515,0.300376,-0.031809,1.360157,?,?,?
62,'2024/12/18 15:46:00:338',1,-0.56792,-0.096502,0.047494,0.262158,-0.03906,1.421071,?,?,?
63,'2024/12/18 15:46:00:719',1,0.591196,-0.166574,-0.10015,0.099781,-0.134675,1.287804,?,?,?
64,'2024/12/18 15:46:00:734',1,0.254284,0.193481,-0.053408,0.099805,-0.108999,1.430148,?,?,?
65,'2024/12/18 15:46:00:934',1,-0.164068,0.255364,0.086787,0.147453,-0.12966,1.724093,?,?,?
66,'2024/12/18 15:46:01:328',1,-0.187942,0.099934,0.072169,0.111732,-0.296861,1.892047,?,?,?
67,'2024/12/18 15:46:01:336',1,-0.043233,-0.050791,-0.015328,0.097511,-0.300056,1.810877,?,?,?
68,'2024/12/18 15:46:01:738',1,-0.021966,-0.09752,-0.019237,0.09263,-0.248705,1.681216,?,?,?
69,'2024/12/18 15:46:01:738',1,0.006757,-0.015903,0.119652,0.128277,-0.208151,1.631761,?,?,?
70,'2024/12/18 15:46:01:942',1,-0.010167,-0.011587,0.053164,0.11905,-0.185718,1.627584,?,?,?
71,'2024/12/18 15:46:03:274',1,-0.106123,-0.018478,0.012341,0.053661,-0.14607,1.508691,?,?,?
72,'2024/12/18 15:46:03:334',1,-0.117355,-0.181691,-0.009185,-0.008489,-0.119014,1.433282,?,?,?
73,'2024/12/18 15:46:03:587',1,0.282782,-0.077635,-0.010615,-0.033773,-0.112397,1.37874,?,?,?
74,'2024/12/18 15:46:03:784',1,0.277925,0.335736,-0.039709,0.021544,-0.077994,1.530003,?,?,?
75,'2024/12/18 15:46:03:939',1,-0.093029,0.219872,-0.094621,0.032088,-0.182039,1.834904,?,?,?
76,'2024/12/18 15:46:04:202',1,-0.148745,0.014823,0.166152,0.034086,-0.149335,1.909344,?,?,?
77,'2024/12/18 15:46:04:399',1,-0.064447,-0.058959,-0.021653,-0.000976,-0.060285,1.814442,?,?,?
78,'2024/12/18 15:46:04:708',1,0.014693,-0.099889,-0.10745,0.013011,-0.077614,1.688155,?,?,?
79,'2024/12/18 15:46:06:183',1,-0.02233,0.014219,0.048228,0.012312,-0.075434,1.597991,?,?,?
80,'2024/12/18 15:46:06:335',1,-0.075417,0.008731,0.072815,0.028586,-0.077815,1.579282,?,?,?
81,'2024/12/18 15:46:06:552',1,-0.082711,-0.095718,-0.044467,-0.001724,-0.051849,1.479899,?,?,?
82,'2024/12/18 15:46:06:858',1,0.32671,-0.180936,0.081801,0.019886,-0.077781,1.371117,?,?,?
83,'2024/12/18 15:46:06:935',1,0.407162,0.212329,-0.108674,0.036724,-0.069664,1.422317,?,?,?
84,'2024/12/18 15:46:07:166',1,-0.00703,0.373013,0.019369,0.043071,-0.05633,1.71841,?,?,?
85,'2024/12/18 15:46:07:471',1,-0.241981,0.144667,0.006599,-0.029181,-0.043742,1.930184,?,?,?
86,'2024/12/18 15:46:07:537',1,-0.182899,-0.124793,0.004161,-0.067502,-0.053071,1.847923,?,?,?
87,'2024/12/18 15:46:07:778',1,0.006868,-0.081561,-0.015028,-0.033166,-0.05467,1.679172,?,?,?
88,'2024/12/18 15:46:09:624',1,-0.063961,-0.001641,-0.02002,0.014335,-0.060349,1.582381,?,?,?
89,'2024/12/18 15:46:09:625',1,-0.218064,-0.013017,-0.009895,-0.01375,-0.053084,1.516265,?,?,?
90,'2024/12/18 15:46:09:827',1,0.181607,-0.255516,0.031056,0.039095,-0.07791,1.401492,?,?,?
91,'2024/12/18 15:46:10:032',1,0.437734,0.125589,-0.183451,0.05014,-0.044998,1.413115,?,?,?
92,'2024/12/18 15:46:10:237',1,0.096413,0.351461,0.10478,0.080154,-0.01723,1.649198,?,?,?
93,'2024/12/18 15:46:10:338',1,-0.270377,0.227628,0.034052,-0.005176,-0.058071,1.911195,?,?,?
94,'2024/12/18 15:46:10:652',1,-0.319085,-0.025146,-0.0321,-0.029804,-0.076899,1.883547,?,?,?
95,'2024/12/18 15:46:10:736',1,0.020798,-0.157276,-0.057227,0.001217,-0.070631,1.616606,?,?,?
96,'2024/12/18 15:46:11:057',1,0.125962,-0.030471,0.053062,0.04952,-0.062832,1.469611,?,?,?
97,'2024/12/18 15:46:11:134',1,-0.025467,0.021172,-0.025167,0.033935,-0.052606,1.465987,?,?,?
98,'2024/12/18 15:46:13:002',1,-0.015477,-0.004625,-0.041949,0.036674,-0.061814,1.475434,?,?,?
99,'2024/12/18 15:46:13:314',1,-0.137426,-0.015283,0.090584,0.021828,-0.064171,1.459991,?,?,?
100,'2024/12/18 15:46:13:335',1,-0.174085,-0.286312,-0.085713,-0.008922,-0.051434,1.372765,?,?,?
101,'2024/12/18 15:46:13:566',1,0.369064,-0.014174,-0.025808,0.03744,-0.066196,1.341551,?,?,?
102,'2024/12/18 15:46:13:733',1,0.273612,0.330977,0.113897,0.119669,-0.045376,1.524301,?,?,?
103,'2024/12/18 15:46:14:129',1,-0.147765,0.357151,-0.043597,0.023611,-0.073085,1.848654,?,?,?
104,'2024/12/18 15:46:14:140',1,-0.275475,0.084657,0.023327,-0.015182,-0.089569,1.921156,?,?,?
105,'2024/12/18 15:46:14:538',1,0.04417,-0.134266,-0.082999,-0.006534,-0.081784,1.605447,?,?,?
106,'2024/12/18 15:46:14:538',1,0.207711,-0.105497,0.043849,0.038266,-0.064768,1.42863,?,?,?
107,'2024/12/18 15:46:14:738',1,-0.016509,0.026632,0.036638,0.029994,-0.090896,1.436286,?,?,?
108,'2024/12/18 15:46:16:176',1,0.009744,0.032196,0.095461,0.02057,-0.069905,1.472319,?,?,?
109,'2024/12/18 15:46:16:484',1,-0.096659,-0.100084,-0.00002,-0.019656,-0.080782,1.461328,?,?,?
110,'2024/12/18 15:46:16:533',1,0.103347,-0.2504,-0.013051,-0.024252,-0.023461,1.38677,?,?,?
111,'2024/12/18 15:46:16:897',1,0.484186,0.179677,-0.209831,-0.021237,-0.036953,1.415361,?,?,?
112,'2024/12/18 15:46:16:935',1,-0.022036,0.442081,0.048441,0.052533,-0.007791,1.662299,?,?,?
113,'2024/12/18 15:46:17:304',1,-0.276114,0.183844,0.022912,0.000937,-0.091047,1.876518,?,?,?
114,'2024/12/18 15:46:17:336',1,-0.28625,-0.167571,-0.039483,-0.003951,-0.109155,1.734678,?,?,?
115,'2024/12/18 15:46:17:536',1,0.222262,-0.084749,0.056139,0.042598,-0.08263,1.483563,?,?,?
116,'2024/12/18 15:46:19:334',1,-0.09088,0.009165,0.015052,0.030807,-0.088338,1.435169,?,?,?
117,'2024/12/18 15:46:19:533',1,0.01486,-0.310904,-0.052615,-0.001165,-0.080668,1.374126,?,?,?
118,'2024/12/18 15:46:19:868',1,0.472168,0.027202,-0.127159,0.00816,-0.06684,1.413894,?,?,?
119,'2024/12/18 15:46:19:934',1,0.30333,0.53346,0.135762,0.08258,-0.051438,1.638281,?,?,?
120,'2024/12/18 15:46:20:135',1,-0.274862,0.213819,0.037701,-0.017856,-0.132437,1.869231,?,?,?
121,'2024/12/18 15:46:20:478',1,-0.209533,-0.106407,0.106476,-0.010414,-0.082787,1.74717,?,?,?
122,'2024/12/18 15:46:20:540',1,0.089654,-0.131076,-0.077695,0.004117,-0.061846,1.536812,?,?,?
123,'2024/12/18 15:46:20:888',1,0.055812,-0.022788,0.003364,0.050277,-0.038185,1.457994,?,?,?
124,'2024/12/18 15:47:11:584',1,-0.006719,-0.001852,-0.014102,1.400017,0.146363,0.24247,?,?,?
125,'2024/12/18 15:47:11:586',1,0.005577,0.008808,0.028931,1.402514,0.133453,0.249227,?,?,?
126,'2024/12/18 15:47:11:990',1,0.048257,0.023045,0.031584,1.321328,-0.999139,1.390517,?,?,?
127,'2024/12/18 15:47:12:191',1,0.023002,0.039795,0.030324,1.051553,-1.295334,1.714925,?,?,?
128,'2024/12/18 15:47:12:398',1,0.048638,0.007999,-0.008098,0.806011,-1.34881,1.808312,?,?,?
129,'2024/12/18 15:47:12:532',1,-0.081307,-0.023708,-0.057569,0.592897,-1.338709,1.833936,?,?,?
130,'2024/12/18 15:47:12:808',1,-0.047235,-0.010989,0.010837,0.424598,-1.324078,1.895162,?,?,?
131,'2024/12/18 15:47:13:015',1,0.001,-0.026231,0.012829,0.260251,-1.357692,1.956728,?,?,?
132,'2024/12/18 15:47:13:216',1,-0.083936,-0.009899,-0.126049,0.193391,-1.395455,1.988827,?,?,?
133,'2024/12/18 15:47:13:421',1,0.005089,-0.00712,0.032118,0.267672,-1.348246,2.010209,?,?,?
134,'2024/12/18 15:47:15:065',1,-0.001448,0.000682,-0.005919,1.438198,0.132874,0.3039,?,?,?
135,'2024/12/18 15:47:15:131',1,0.033183,0.011896,0.026833,1.431764,0.012809,0.422329,?,?,?
136,'2024/12/18 15:47:15:535',1,-0.005833,0.013368,0.026423,1.140945,-1.223301,1.693668,?,?,?
137,'2024/12/18 15:47:15:782',1,0.013615,0.03011,-0.018614,0.905448,-1.343646,1.850891,?,?,?
138,'2024/12/18 15:47:15:980',1,0.004916,-0.02063,0.002285,0.741176,-1.338983,1.901248,?,?,?
139,'2024/12/18 15:47:16:188',1,-0.039682,-0.026653,-0.001116,0.566631,-1.370063,1.976817,?,?,?
140,'2024/12/18 15:47:16:390',1,-0.000196,0.003421,0.031588,0.378416,-1.418247,2.040752,?,?,?
141,'2024/12/18 15:47:16:599',1,-0.072263,-0.020622,-0.053271,0.226362,-1.449148,2.067709,?,?,?
142,'2024/12/18 15:47:16:800',1,-0.014146,0.000317,0.025945,0.194084,-1.439838,2.07948,?,?,?
143,'2024/12/18 15:47:18:749',1,-0.006335,0.000732,-0.000727,1.402945,0.07077,0.398416,?,?,?
144,'2024/12/18 15:47:18:934',1,0.070815,0.007422,-0.005314,1.386272,-0.079251,0.545797,?,?,?
145,'2024/12/18 15:47:19:156',1,0.025303,0.018182,-0.007581,1.267747,-0.834084,1.307447,?,?,?
146,'2024/12/18 15:47:19:361',1,0.005612,0.031516,0.025608,1.022356,-1.197036,1.693893,?,?,?
147,'2024/12/18 15:47:19:568',1,-0.017733,-0.010851,-0.014645,0.802307,-1.289608,1.817282,?,?,?
148,'2024/12/18 15:47:19:769',1,-0.098591,-0.020931,0.002025,0.555709,-1.386498,1.91765,?,?,?
149,'2024/12/18 15:47:19:932',1,0.011882,0.002757,-0.024639,0.373781,-1.417415,1.956386,?,?,?
150,'2024/12/18 15:47:20:181',1,-0.005737,-0.00633,-0.013441,0.237269,-1.433106,1.989867,?,?,?
151,'2024/12/18 15:47:20:392',1,-0.056506,-0.011561,-0.028283,0.173838,-1.428713,1.999748,?,?,?
152,'2024/12/18 15:47:20:589',1,0.010022,-0.000442,0.001765,0.199642,-1.410008,2.00322,?,?,?
153,'2024/12/18 15:47:22:133',1,-0.005291,0.01065,0.00033,1.421496,0.123799,0.35005,?,?,?
154,'2024/12/18 15:47:22:336',1,0.003279,0.013135,0.015124,1.42148,0.062621,0.405906,?,?,?
155,'2024/12/18 15:47:22:535',1,0.074244,0.023838,-0.003384,1.391397,-0.387012,0.807831,?,?,?
156,'2024/12/18 15:47:22:844',1,0.018344,-0.000421,-0.03405,1.186436,-1.240215,1.591619,?,?,?
157,'2024/12/18 15:47:22:934',1,0.011452,0.02305,-0.00098,0.937558,-1.464236,1.860137,?,?,?
158,'2024/12/18 15:47:23:151',1,-0.030099,-0.006918,-0.028792,0.657017,-1.459663,1.962229,?,?,?
159,'2024/12/18 15:47:23:355',1,-0.056872,-0.016174,0.006975,0.44824,-1.455967,2.002141,?,?,?
160,'2024/12/18 15:47:23:667',1,-0.005249,0.004083,0.01913,0.327615,-1.457149,2.032574,?,?,?
161,'2024/12/18 15:47:23:734',1,-0.057116,-0.037354,-0.005694,0.201604,-1.485614,2.040743,?,?,?
162,'2024/12/18 15:47:24:175',1,-0.021329,-0.006232,0.019094,0.154492,-1.500871,2.056421,?,?,?
163,'2024/12/18 15:47:24:175',1,0.019254,-0.003695,-0.001126,0.158126,-1.499253,2.050549,?,?,?
164,'2024/12/18 15:47:26:120',1,0.00176,0.008786,-0.006443,1.432226,0.0736,0.397352,?,?,?
165,'2024/12/18 15:47:26:132',1,0.067086,0.029589,0.027539,1.421309,-0.575191,1.023502,?,?,?
166,'2024/12/18 15:47:26:531',1,-0.003798,-0.017676,-0.02874,1.202005,-1.281773,1.728811,?,?,?
167,'2024/12/18 15:47:26:533',1,0.02431,0.030894,0.003542,0.963578,-1.441805,1.92298,?,?,?
168,'2024/12/18 15:47:26:940',1,-0.007818,0.003734,-0.013703,0.68236,-1.491952,2.000621,?,?,?
169,'2024/12/18 15:47:26:940',1,-0.008325,-0.008408,0.015226,0.418981,-1.479202,2.036016,?,?,?
170,'2024/12/18 15:47:27:142',1,0.005752,-0.016134,-0.010395,0.217417,-1.478534,2.061225,?,?,?
171,'2024/12/18 15:47:27:350',1,-0.00938,-0.012123,0.022977,0.04887,-1.473514,2.072971,?,?,?
172,'2024/12/18 15:47:27:539',1,-0.00403,0.011297,-0.014418,0.005498,-1.46723,2.072883,?,?,?
173,'2024/12/18 15:47:27:758',1,0.025032,0.021232,-0.019249,0.034025,-1.449203,2.06565,?,?,?
174,'2024/12/18 15:47:29:602',1,0.002636,0.005709,-0.006264,1.428122,0.182721,0.314769,?,?,?
175,'2024/12/18 15:47:29:733',1,0.006274,0.002617,0.009358,1.424146,0.175582,0.318008,?,?,?
176,'2024/12/18 15:47:29:937',1,0.080546,0.000468,-0.011104,1.418722,-0.091656,0.574156,?,?,?
177,'2024/12/18 15:47:30:136',1,0.031851,0.033516,-0.045736,1.300673,-0.979016,1.465432,?,?,?
178,'2024/12/18 15:47:30:528',1,-0.028809,0.013516,0.031652,1.014689,-1.314906,1.833227,?,?,?
179,'2024/12/18 15:47:30:535',1,0.001502,0.013606,0.009653,0.737721,-1.401239,1.940879,?,?,?
180,'2024/12/18 15:47:30:738',1,0.001246,-0.016682,-0.012705,0.498715,-1.427494,1.998726,?,?,?
181,'2024/12/18 15:47:31:137',1,-0.012367,-0.022972,0.003013,0.261856,-1.442973,2.054945,?,?,?
182,'2024/12/18 15:47:31:138',1,-0.028977,0.00394,-0.006786,0.124701,-1.469075,2.081109,?,?,?
183,'2024/12/18 15:47:31:343',1,-0.004796,0.0171,-0.048988,0.106689,-1.454958,2.083135,?,?,?
184,'2024/12/19 00:00:02:988',2,0.007243,0.006256,-0.006006,0.204502,-0.021627,0.477438,?,?,?
185,'2024/12/19 00:00:02:990',2,0.018166,0.114827,0.005115,0.18519,-0.013887,0.484388,?,?,?
186,'2024/12/19 00:00:03:191',2,-0.191311,-0.35653,0.116294,0.146666,0.005395,0.442377,?,?,?
187,'2024/12/19 00:00:03:395',2,0.422081,0.485892,-0.748485,0.138218,0.028127,0.4877,?,?,?
188,'2024/12/19 00:00:03:682',2,-0.0223,0.494323,0.70889,0.532945,-0.081485,0.559049,?,?,?
189,'2024/12/19 00:00:03:783',2,0.136344,-0.312188,0.196093,0.484206,-0.006249,0.368657,?,?,?
190,'2024/12/19 00:00:04:113',2,-0.149489,-0.019272,-0.174134,0.335772,0.044861,0.485538,?,?,?
191,'2024/12/19 00:00:04:181',2,0.049466,0.078767,-0.092404,0.210896,0.019167,0.479179,?,?,?
192,'2024/12/19 00:00:05:650',3,-0.009249,0.009824,0.021722,0.170036,-0.012848,0.474396,?,?,?
193,'2024/12/19 00:00:05:856',3,0.002811,-0.073651,0.008772,0.130008,-0.020811,0.470313,?,?,?
194,'2024/12/19 00:00:06:060',3,0.112334,-0.02873,-0.325247,0.200516,0.028639,0.443706,?,?,?
195,'2024/12/19 00:00:06:263',3,0.098337,0.746035,0.617059,0.490575,-0.099732,0.604706,?,?,?
196,'2024/12/19 00:00:06:571',3,-0.091935,-0.227747,0.531433,0.616605,-0.024708,0.512444,?,?,?
197,'2024/12/19 00:00:06:581',3,0.00134,-0.277098,0.109601,0.418432,0.034294,0.446677,?,?,?
198,'2024/12/19 00:00:06:879',3,-0.136223,0.12546,-0.503506,0.278475,0.032866,0.545732,?,?,?
199,'2024/12/19 00:00:08:004',4,0.007225,0.005231,-0.008771,0.302343,0.002694,0.476137,?,?,?
200,'2024/12/19 00:00:08:212',4,-0.033477,-0.083155,0.15602,0.271185,0.000585,0.478269,?,?,?
201,'2024/12/19 00:00:08:381',4,0.034276,-0.028518,-0.458579,0.295528,0.027305,0.45906,?,?,?
202,'2024/12/19 00:00:08:723',4,0.069092,0.758586,0.382446,0.632788,-0.110106,0.607887,?,?,?
203,'2024/12/19 00:00:08:781',4,-0.15305,-0.053053,0.547195,0.752468,-0.034574,0.465229,?,?,?
204,'2024/12/19 00:00:09:133',4,0.079487,-0.151924,-0.346659,0.422433,0.013764,0.40723,?,?,?
